country_id,party,cee,family,cmp_id,parlgov_id,manichean,indivisble,generalwill,peoplecentrism,antielitism,complex,emotional,lroverall,lrecon,immigration,eu,nativism,laworder,lifestyle,intradem,personalised,nr_experts,mean_expert_response,latent
AU,FPO,0,1,42420.0,50.0,7.916666499999999,8.3846149,8.4615383,8.5384617,8.583333,1.6923077000000002,8.7692308,8.5384617,6.2307692,0.38461539,1.5384616000000002,9.3076925,9.153845800000001,2.3076923,2.6153846,8.6153851,13,12.875,36.729069
AU,Gruene,0,7,42110.0,1429.0,4.1666665,1.9230769,2.3076923,3.7692308,3.5384614,7.0,4.6153846,2.6923077,2.6153846,8.0769234,8.7692308,0.69230771,1.3076923,8.3846149,8.1538458,3.1538463,13,12.9375,13.852076
AU,NEOS,0,3,42430.0,2255.0,3.5833333,1.9230769,2.3846154,3.6923077000000006,3.5384614,6.0,4.3846154,6.0,7.4615383,6.0769229000000005,9.2307692,1.9230769,1.6153846,8.1538458,7.666666499999999,6.3076925,13,12.875,13.327518
AU,OVP,0,4,42520.0,1013.0,5.5833335,5.0,5.0769229000000005,4.0769229,3.7692308,4.7692308,6.769230800000001,7.3076925,7.615384599999999,2.0769231,6.3076925,6.5384617,7.0,2.9230769,4.5384617,8.5384617,13,12.9375,20.611242
AU,PILZ,0,7,42120.0,2651.0,4.777777700000001,3.2,3.5555556000000004,4.1999998,5.3333335,4.4000001,5.0833335,3.0,2.7272727000000003,5.75,7.0,2.8181818,2.4615386000000004,7.833333500000001,5.777777700000001,6.0999999,13,10.75,18.496128
AU,SPO,0,5,42320.0,973.0,3.6666667,3.7692308,3.6923077000000006,3.6923077000000006,3.2307692,6.4615383,4.8461537,3.5384614,2.9230769,5.4615383,8.0769234,2.4615386000000004,3.3846154000000004,7.384615400000001,6.3076925,6.2307692,13,12.9375,15.838872
FR,DLF,0,2,,2399.0,8.6000004,6.1999998,6.8000002,7.400000099999999,7.5,1.5555556000000001,7.1999998,7.599999900000001,5.222222299999999,1.4,0.89999998,8.1000004,8.2222223,2.0,2.375,8.8999996,10,9.6875,32.069881
FR,EELV,0,7,31110.0,873.0,4.1999998,4.0,4.8000002,3.3,3.5999999,6.0,4.099999899999999,3.5999999,2.9000001,8.300000200000001,8.0,0.40000001,1.7,9.5,7.900000099999999,1.9,10,9.9375,17.42955
FR,FN,0,1,31720.0,270.0,9.6000004,6.599999900000001,8.199999799999999,8.8000002,8.300000200000001,0.22222222,8.8999996,8.3999996,3.4000001,0.2,0.30000001,9.8000002,9.3999996,2.3,2.4000001,9.5,10,9.9375,36.493140999999994
FR,LFI,0,6,31240.0,2644.0,8.6000004,7.099999900000001,7.3000002,8.6999998,8.8999996,1.5555556000000001,8.5,1.5,1.2,7.1999998,2.0999999,1.9,2.7,7.3000002,4.5,8.6999998,10,9.9375,35.660671
