party,year,score,orientation,counts,random_state
Austrian People’s Party,2013.0,0.2337662337662337,Right-wing,77,45
Peter Pilz List,2017.0,0.2183406113537118,Left-wing,229,45
Austrian People’s Party,2006.0,0.2677824267782426,Right-wing,478,46
Austrian People’s Party,2017.0,0.3584905660377358,Right-wing,53,46
The New Austria,2017.0,0.2684210526315789,Other,190,46
Alliance for the Future of Austria,2006.0,0.6467391304347826,Right-wing,552,46
The Greens,2017.0,0.2721518987341772,Left-wing,158,46
Team Stronach for Austria,2013.0,0.4259259259259259,Right-wing,162,46
Austrian People’s Party,2013.0,0.2230215827338129,Right-wing,139,46
Austrian Communist Party,2008.0,0.125,Left-wing,16,46
The New Austria,2013.0,0.1744186046511628,Other,86,46
Austrian People’s Party,2008.0,0.2483660130718954,Right-wing,306,46
Austrian Social Democratic Party,2013.0,0.1768707482993197,Left-wing,147,46
Austrian Social Democratic Party,2006.0,0.2916666666666667,Left-wing,192,46
The Greens,2008.0,0.3873873873873873,Left-wing,222,46
Austrian Freedom Party,2008.0,0.2586206896551724,Right-wing,58,46
Austrian People’s Party,2002.0,0.2330316742081448,Right-wing,442,46
Austrian Freedom Party,2006.0,0.4825870646766169,Right-wing,201,46
Austrian Social Democratic Party,2002.0,0.44,Left-wing,25,46
Austrian Freedom Party,2013.0,0.5753424657534246,Right-wing,73,46
Austrian Freedom Party,2002.0,0.5110410094637224,Right-wing,317,46
The Greens,2006.0,0.1195652173913043,Left-wing,92,46
The Greens,2002.0,0.25,Left-wing,84,46
Austrian Social Democratic Party,2008.0,0.3205128205128205,Left-wing,78,46
The Greens,2013.0,0.2769230769230769,Left-wing,65,46
Austrian Freedom Party,2017.0,0.3953488372093023,Right-wing,43,46
Alliance for the Future of Austria,2008.0,0.2857142857142857,Right-wing,21,46
Austrian Social Democratic Party,2017.0,0.3,Left-wing,10,46
Peter Pilz List,2017.0,0.4900662251655629,Left-wing,151,46
Austrian Freedom Party,2013.0,0.4972375690607735,Right-wing,181,47
Austrian Freedom Party,2006.0,0.5853658536585366,Right-wing,205,47
Alliance for the Future of Austria,2006.0,0.4786324786324786,Right-wing,117,47
Alliance for the Future of Austria,2008.0,0.5032258064516129,Right-wing,465,47
Austrian Communist Party,2008.0,0.3226415094339622,Left-wing,530,47
The Greens,2008.0,0.3183856502242152,Left-wing,446,47
Team Stronach for Austria,2013.0,0.5142857142857142,Right-wing,315,47
Austrian People’s Party,2002.0,0.287037037037037,Right-wing,324,47
Austrian Freedom Party,2008.0,0.5602836879432624,Right-wing,141,47
Austrian People’s Party,2017.0,0.3620689655172414,Right-wing,58,47
Austrian Social Democratic Party,2017.0,0.4506172839506173,Left-wing,162,47
Austrian Freedom Party,2002.0,0.5294117647058824,Right-wing,68,47
Austrian Social Democratic Party,2002.0,0.4380952380952381,Left-wing,210,47
The New Austria,2017.0,0.6067415730337079,Other,89,47
Austrian Freedom Party,2017.0,0.5227272727272727,Right-wing,88,47
The Greens,2006.0,0.3728813559322034,Left-wing,59,47
The Greens,2002.0,0.3861386138613861,Left-wing,202,47
Austrian Social Democratic Party,2013.0,0.0,Left-wing,9,47
The Greens,2017.0,0.2127659574468085,Left-wing,47,47
Austrian Social Democratic Party,2006.0,0.3582089552238806,Left-wing,201,47
Austrian People’s Party,2008.0,0.2209302325581395,Right-wing,86,47
Austrian People’s Party,2006.0,0.3846153846153846,Right-wing,104,47
Austrian Social Democratic Party,2008.0,0.4117647058823529,Left-wing,51,47
Austrian People’s Party,2013.0,0.1555555555555555,Right-wing,45,47
The Greens,2013.0,0.4782608695652174,Left-wing,23,47
The New Austria,2013.0,0.5714285714285714,Other,7,47
Peter Pilz List,2017.0,0.3947368421052631,Left-wing,76,47
Austrian Freedom Party,2006.0,0.6845637583892618,Right-wing,298,48
Austrian Social Democratic Party,2017.0,0.248730964467005,Left-wing,197,48
The New Austria,2017.0,0.0909090909090909,Other,11,48
The Greens,2017.0,0.2105263157894736,Left-wing,532,48
The Greens,2006.0,0.3066361556064073,Left-wing,437,48
Austrian Social Democratic Party,2013.0,0.255,Left-wing,200,48
Team Stronach for Austria,2013.0,0.5170068027210885,Right-wing,294,48
Austrian People’s Party,2006.0,0.3734939759036144,Right-wing,166,48
Austrian Freedom Party,2017.0,0.5285714285714286,Right-wing,140,48
Austrian Communist Party,2008.0,0.1888888888888888,Left-wing,90,48
The Greens,2013.0,0.25,Left-wing,96,48
Austrian Freedom Party,2008.0,0.3791469194312796,Right-wing,211,48
Alliance for the Future of Austria,2006.0,0.4141414141414141,Right-wing,99,48
Austrian People’s Party,2013.0,0.3112582781456953,Right-wing,151,48
Austrian People’s Party,2008.0,0.3150684931506849,Right-wing,73,48
Austrian People’s Party,2002.0,0.3516483516483517,Right-wing,182,48
Austrian Social Democratic Party,2006.0,0.25,Left-wing,20,48
Austrian Freedom Party,2013.0,0.5250501002004008,Right-wing,499,48
The Greens,2002.0,0.2553191489361702,Left-wing,47,48
Austrian Freedom Party,2002.0,0.59375,Right-wing,64,48
Austrian Social Democratic Party,2002.0,0.1329479768786127,Left-wing,173,48
Austrian People’s Party,2017.0,0.253012048192771,Right-wing,83,48
Alliance for the Future of Austria,2008.0,0.3333333333333333,Right-wing,51,48
The Greens,2008.0,0.2903225806451613,Left-wing,62,48
Austrian Social Democratic Party,2008.0,0.2916666666666667,Left-wing,24,48
The New Austria,2013.0,0.2,Other,10,48
Peter Pilz List,2017.0,0.543046357615894,Left-wing,151,48
The Greens,2013.0,0.2327935222672064,Left-wing,494,49
Austrian Freedom Party,2013.0,0.6153846153846154,Right-wing,13,49
Austrian Social Democratic Party,2002.0,0.1773308957952468,Left-wing,547,49
Austrian Freedom Party,2002.0,0.4498834498834498,Right-wing,429,49
Austrian Social Democratic Party,2008.0,0.2727272727272727,Left-wing,88,49
Alliance for the Future of Austria,2008.0,0.4944444444444444,Right-wing,180,49
Austrian Freedom Party,2006.0,0.375,Right-wing,72,49
Team Stronach for Austria,2013.0,0.6735905044510386,Right-wing,337,49
The New Austria,2013.0,0.4426229508196721,Other,61,49
Austrian Social Democratic Party,2006.0,0.3553299492385787,Left-wing,197,49
Austrian Social Democratic Party,2017.0,0.2784090909090909,Left-wing,176,49
Austrian Freedom Party,2017.0,0.4166666666666667,Right-wing,48,49
Austrian Communist Party,2008.0,0.2926829268292683,Left-wing,82,49
The Greens,2002.0,0.2413793103448276,Left-wing,145,49
Austrian People’s Party,2008.0,0.2419354838709677,Right-wing,62,49
The Greens,2008.0,0.3425414364640884,Left-wing,181,49
Austrian People’s Party,2013.0,0.2260273972602739,Right-wing,146,49
The New Austria,2017.0,0.3286384976525822,Other,213,49
The Greens,2017.0,0.2466666666666666,Left-wing,150,49
Austrian Social Democratic Party,2013.0,0.365079365079365,Left-wing,63,49
The Greens,2006.0,0.2441860465116279,Left-wing,86,49
Alliance for the Future of Austria,2006.0,0.5067114093959731,Right-wing,298,49
Austrian People’s Party,2006.0,0.2988505747126437,Right-wing,87,49
Austrian People’s Party,2002.0,0.1428571428571428,Right-wing,14,49
Austrian Freedom Party,2008.0,1.0,Right-wing,8,49
Austrian People’s Party,2017.0,0.25,Right-wing,56,49
Peter Pilz List,2017.0,0.2236842105263158,Left-wing,76,49
Austrian People’s Party,2013.0,0.1809045226130653,Right-wing,199,50
Austrian People’s Party,2008.0,0.2952380952380952,Right-wing,210,50
The Greens,2002.0,0.3686635944700461,Left-wing,217,50
Austrian Social Democratic Party,2017.0,0.1827956989247312,Left-wing,93,50
The New Austria,2017.0,0.2224824355971897,Other,427,50
Austrian Social Democratic Party,2008.0,0.1593625498007968,Left-wing,502,50
Alliance for the Future of Austria,2008.0,0.4642857142857143,Right-wing,56,50
Austrian Freedom Party,2006.0,0.5617977528089888,Right-wing,89,50
Austrian Social Democratic Party,2006.0,0.5581395348837209,Left-wing,43,50
Austrian People’s Party,2017.0,0.2533333333333333,Right-wing,150,50
The Greens,2013.0,0.1533742331288343,Left-wing,489,50
Austrian Social Democratic Party,2002.0,0.3152173913043478,Left-wing,184,50
The Greens,2008.0,0.2679738562091503,Left-wing,153,50
Austrian Freedom Party,2017.0,0.5409836065573771,Right-wing,305,50
Austrian Freedom Party,2013.0,0.3225806451612903,Right-wing,124,50
Austrian Freedom Party,2002.0,0.5147058823529411,Right-wing,68,50
Team Stronach for Austria,2013.0,0.5777777777777777,Right-wing,45,50
The New Austria,2013.0,0.2777777777777778,Other,72,50
The Greens,2006.0,0.2901234567901234,Left-wing,324,50
Austrian People’s Party,2002.0,0.4631578947368421,Right-wing,95,50
Austrian Freedom Party,2008.0,0.4166666666666667,Right-wing,192,50
Alliance for the Future of Austria,2006.0,0.3235294117647059,Right-wing,68,50
Austrian People’s Party,2006.0,0.1111111111111111,Right-wing,9,50
Austrian Social Democratic Party,2013.0,0.4,Left-wing,15,50
Austrian Communist Party,2008.0,0.1978021978021978,Left-wing,91,50
The Greens,2017.0,0.25,Left-wing,24,50
Peter Pilz List,2017.0,0.2105263157894736,Left-wing,38,50
The Greens,2006.0,0.1403508771929824,Left-wing,57,51
Team Stronach for Austria,2013.0,0.5240641711229946,Right-wing,187,51
The New Austria,2013.0,0.2003891050583657,Other,514,51
Austrian Social Democratic Party,2017.0,0.3333333333333333,Left-wing,162,51
Austrian Social Democratic Party,2006.0,0.1142857142857142,Left-wing,315,51
The New Austria,2017.0,0.2318840579710145,Other,69,51
Austrian People’s Party,2017.0,0.2804878048780488,Right-wing,164,51
Austrian People’s Party,2008.0,0.5294117647058824,Right-wing,51,51
The Greens,2013.0,0.2871287128712871,Left-wing,303,51
The Greens,2017.0,0.4361702127659574,Left-wing,94,51
Alliance for the Future of Austria,2008.0,0.2574257425742574,Right-wing,101,51
Austrian Social Democratic Party,2008.0,0.2833675564681724,Left-wing,487,51
Austrian Freedom Party,2008.0,0.5532879818594104,Right-wing,441,51
Austrian Freedom Party,2013.0,0.3461538461538461,Right-wing,52,51
Austrian People’s Party,2002.0,0.3453237410071942,Right-wing,139,51
Austrian Social Democratic Party,2002.0,0.2142857142857142,Left-wing,56,51
The Greens,2002.0,0.2769230769230769,Left-wing,195,51
The Greens,2008.0,0.2682926829268293,Left-wing,205,51
Austrian Freedom Party,2017.0,0.3153153153153153,Right-wing,222,51
Austrian People’s Party,2006.0,0.1794871794871795,Right-wing,39,51
Austrian Freedom Party,2002.0,0.8170731707317073,Right-wing,82,51
Austrian Social Democratic Party,2013.0,0.2133333333333333,Left-wing,75,51
Austrian Communist Party,2008.0,0.2272727272727272,Left-wing,22,51
Alliance for the Future of Austria,2006.0,0.9,Right-wing,10,51
Austrian Freedom Party,2006.0,0.5454545454545454,Right-wing,11,51
Austrian People’s Party,2013.0,0.1,Right-wing,10,51
Peter Pilz List,2017.0,0.5031055900621118,Left-wing,644,51
The Greens,2002.0,0.1492063492063492,Left-wing,315,52
Austrian Freedom Party,2008.0,0.4797297297297297,Right-wing,148,52
The New Austria,2013.0,0.3372549019607843,Other,510,52
Austrian Freedom Party,2013.0,0.5384615384615384,Right-wing,13,52
The Greens,2013.0,0.1931818181818181,Left-wing,440,52
Austrian Freedom Party,2017.0,0.5879396984924623,Right-wing,199,52
Austrian People’s Party,2017.0,0.2320819112627986,Right-wing,293,52
The Greens,2008.0,0.1968911917098445,Left-wing,193,52
Team Stronach for Austria,2013.0,0.2982456140350877,Right-wing,57,52
Austrian Freedom Party,2006.0,0.6760828625235404,Right-wing,531,52
The Greens,2006.0,0.1224489795918367,Left-wing,98,52
Austrian People’s Party,2013.0,0.3442622950819672,Right-wing,61,52
Alliance for the Future of Austria,2006.0,0.4523809523809524,Right-wing,84,52
Austrian Social Democratic Party,2008.0,0.2369942196531791,Left-wing,173,52
The Greens,2017.0,0.1176470588235294,Left-wing,85,52
Austrian People’s Party,2002.0,0.5230769230769231,Right-wing,65,52
Austrian Freedom Party,2002.0,0.5581395348837209,Right-wing,43,52
Austrian People’s Party,2008.0,0.2206572769953051,Right-wing,213,52
The New Austria,2017.0,0.2701421800947867,Other,211,52
Austrian Social Democratic Party,2017.0,0.2604166666666667,Left-wing,96,52
Austrian Social Democratic Party,2002.0,0.125,Left-wing,72,52
Austrian People’s Party,2006.0,0.3414634146341463,Right-wing,41,52
Austrian Social Democratic Party,2006.0,0.2377622377622377,Left-wing,143,52
Austrian Communist Party,2008.0,0.3333333333333333,Left-wing,18,52
Alliance for the Future of Austria,2008.0,0.2857142857142857,Right-wing,7,52
Austrian Social Democratic Party,2013.0,0.3333333333333333,Left-wing,12,52
Peter Pilz List,2017.0,0.26,Left-wing,450,52
Austrian Freedom Party,2017.0,0.5806451612903226,Right-wing,217,53
Austrian Social Democratic Party,2017.0,0.4337349397590361,Left-wing,83,53
Austrian People’s Party,2006.0,0.1428571428571428,Right-wing,42,53
Austrian Freedom Party,2008.0,0.5513698630136986,Right-wing,292,53
Austrian Communist Party,2008.0,0.304054054054054,Left-wing,148,53
Austrian Social Democratic Party,2006.0,0.2327868852459016,Left-wing,305,53
Austrian Social Democratic Party,2013.0,0.4948453608247423,Left-wing,97,53
Austrian People’s Party,2002.0,0.4358974358974359,Right-wing,78,53
Austrian Freedom Party,2002.0,0.5925925925925926,Right-wing,216,53
The Greens,2006.0,0.3414634146341463,Left-wing,82,53
Austrian Freedom Party,2013.0,0.4743875278396436,Right-wing,449,53
Alliance for the Future of Austria,2008.0,0.5538461538461539,Right-wing,130,53
Austrian People’s Party,2017.0,0.4583333333333333,Right-wing,144,53
The Greens,2013.0,0.2607003891050584,Left-wing,514,53
Alliance for the Future of Austria,2006.0,0.4878048780487805,Right-wing,205,53
Austrian Social Democratic Party,2002.0,0.25,Left-wing,8,53
Austrian People’s Party,2008.0,0.2203742203742204,Right-wing,481,53
The Greens,2008.0,0.4010695187165775,Left-wing,187,53
Austrian People’s Party,2013.0,0.1702127659574468,Right-wing,47,53
The New Austria,2013.0,0.3292682926829268,Other,82,53
The Greens,2002.0,0.2857142857142857,Left-wing,98,53
Austrian Freedom Party,2006.0,0.4615384615384615,Right-wing,52,53
Austrian Social Democratic Party,2008.0,0.6666666666666666,Left-wing,9,53
The New Austria,2017.0,0.3035714285714285,Other,56,53
The Greens,2017.0,0.48,Left-wing,25,53
Team Stronach for Austria,2013.0,0.5625,Right-wing,16,53
Peter Pilz List,2017.0,0.4118564742589704,Left-wing,641,53
Austrian Freedom Party,2006.0,0.4824355971896955,Right-wing,427,54
Austrian Social Democratic Party,2017.0,0.2964071856287425,Left-wing,334,54
Austrian Freedom Party,2013.0,0.5,Right-wing,134,54
Austrian Social Democratic Party,2002.0,0.329004329004329,Left-wing,462,54
Austrian Communist Party,2008.0,0.4150943396226415,Left-wing,53,54
Austrian People’s Party,2017.0,0.5,Right-wing,6,54
The Greens,2013.0,0.3483870967741935,Left-wing,155,54
Austrian Freedom Party,2017.0,0.4285714285714285,Right-wing,203,54
Alliance for the Future of Austria,2008.0,0.4,Right-wing,80,54
Austrian People’s Party,2002.0,0.35,Right-wing,60,54
Alliance for the Future of Austria,2006.0,0.6721311475409836,Right-wing,549,54
Austrian People’s Party,2008.0,0.2539682539682539,Right-wing,63,54
Austrian Social Democratic Party,2006.0,0.3492822966507177,Left-wing,209,54
The Greens,2017.0,0.4020100502512563,Left-wing,199,54
The Greens,2008.0,0.263681592039801,Left-wing,201,54
The Greens,2002.0,0.1788079470198675,Left-wing,302,54
The Greens,2006.0,0.3741007194244604,Left-wing,139,54
The New Austria,2013.0,0.2692307692307692,Other,78,54
Austrian People’s Party,2006.0,0.3636363636363636,Right-wing,77,54
Austrian Freedom Party,2008.0,0.3260869565217391,Right-wing,46,54
Austrian People’s Party,2013.0,0.313953488372093,Right-wing,86,54
The New Austria,2017.0,0.3461538461538461,Other,78,54
Austrian Social Democratic Party,2008.0,0.4210526315789473,Left-wing,19,54
Austrian Freedom Party,2002.0,0.4262295081967213,Right-wing,61,54
Team Stronach for Austria,2013.0,0.2307692307692307,Right-wing,13,54
Austrian Social Democratic Party,2013.0,0.3636363636363636,Left-wing,22,54
Peter Pilz List,2017.0,0.4045112781954887,Left-wing,665,54
Austrian Freedom Party,2017.0,0.5751173708920188,Right-wing,426,55
Austrian Social Democratic Party,2017.0,0.3756613756613756,Left-wing,189,55
Austrian Freedom Party,2006.0,0.5711382113821138,Right-wing,492,55
Austrian Social Democratic Party,2006.0,0.2768361581920904,Left-wing,177,55
Austrian People’s Party,2008.0,0.4264705882352941,Right-wing,68,55
The Greens,2017.0,0.2095238095238095,Left-wing,210,55
Austrian Freedom Party,2013.0,0.2068965517241379,Right-wing,58,55
The New Austria,2013.0,0.1973684210526315,Other,304,55
Austrian Social Democratic Party,2002.0,0.3870967741935484,Left-wing,93,55
Alliance for the Future of Austria,2008.0,0.2771084337349397,Right-wing,83,55
Austrian People’s Party,2017.0,0.4268292682926829,Right-wing,82,55
Austrian People’s Party,2002.0,0.2394366197183098,Right-wing,71,55
Austrian People’s Party,2006.0,0.4038461538461538,Right-wing,156,55
Austrian Communist Party,2008.0,0.289134438305709,Left-wing,543,55
Team Stronach for Austria,2013.0,0.6342857142857142,Right-wing,175,55
Alliance for the Future of Austria,2006.0,0.3214285714285714,Right-wing,84,55
Austrian Freedom Party,2008.0,0.4436090225563909,Right-wing,133,55
Austrian Social Democratic Party,2013.0,0.1944444444444444,Left-wing,324,55
The Greens,2002.0,0.2906976744186046,Left-wing,86,55
The Greens,2006.0,0.423841059602649,Left-wing,151,55
The Greens,2008.0,0.2396313364055299,Left-wing,217,55
Austrian Social Democratic Party,2008.0,0.2,Left-wing,40,55
The Greens,2013.0,0.0666666666666666,Left-wing,15,55
The New Austria,2017.0,0.238095238095238,Other,42,55
Austrian Freedom Party,2002.0,0.4666666666666667,Right-wing,15,55
Austrian People’s Party,2013.0,0.3846153846153846,Right-wing,13,55
Peter Pilz List,2017.0,0.8214285714285714,Left-wing,28,55
Austrian Freedom Party,2017.0,0.5177165354330708,Right-wing,508,56
Alliance for the Future of Austria,2006.0,0.2933333333333333,Right-wing,75,56
Austrian Social Democratic Party,2008.0,0.27,Left-wing,200,56
Austrian People’s Party,2013.0,0.232258064516129,Right-wing,465,56
Austrian Social Democratic Party,2017.0,0.25,Left-wing,136,56
The Greens,2017.0,0.2785714285714286,Left-wing,140,56
Austrian Social Democratic Party,2002.0,0.3773584905660377,Left-wing,53,56
The Greens,2006.0,0.3157894736842105,Left-wing,228,56
The Greens,2002.0,0.1659574468085106,Left-wing,470,56
Alliance for the Future of Austria,2008.0,0.4395604395604395,Right-wing,91,56
Austrian Social Democratic Party,2013.0,0.1166666666666666,Left-wing,60,56
The New Austria,2013.0,0.2582417582417582,Other,182,56
The Greens,2008.0,0.2096774193548387,Left-wing,186,56
Austrian Communist Party,2008.0,0.2931937172774869,Left-wing,191,56
Austrian Freedom Party,2008.0,0.5111821086261981,Right-wing,313,56
Team Stronach for Austria,2013.0,0.2958579881656805,Right-wing,169,56
Austrian People’s Party,2017.0,0.145631067961165,Right-wing,103,56
The New Austria,2017.0,0.125,Other,56,56
Austrian People’s Party,2008.0,0.2379518072289156,Right-wing,332,56
Austrian People’s Party,2002.0,0.0618556701030927,Right-wing,97,56
Austrian People’s Party,2006.0,0.1304347826086956,Right-wing,46,56
The Greens,2013.0,0.1864406779661017,Left-wing,59,56
Austrian Freedom Party,2013.0,0.5,Right-wing,8,56
Austrian Freedom Party,2002.0,0.6046511627906976,Right-wing,43,56
Austrian Freedom Party,2006.0,0.238095238095238,Right-wing,21,56
Austrian Social Democratic Party,2006.0,0.0,Left-wing,7,56
Peter Pilz List,2017.0,0.4285714285714285,Left-wing,56,56
Alliance for the Future of Austria,2008.0,0.4846153846153846,Right-wing,130,57
The New Austria,2013.0,0.4413793103448276,Other,145,57
Austrian Social Democratic Party,2006.0,0.144578313253012,Left-wing,83,57
The Greens,2002.0,0.337037037037037,Left-wing,540,57
Austrian Freedom Party,2017.0,0.4948979591836734,Right-wing,196,57
Austrian Social Democratic Party,2017.0,0.3546325878594249,Left-wing,313,57
Austrian Freedom Party,2013.0,0.5575221238938053,Right-wing,226,57
The Greens,2006.0,0.268041237113402,Left-wing,194,57
Austrian Social Democratic Party,2013.0,0.3333333333333333,Left-wing,180,57
Austrian Social Democratic Party,2008.0,0.3698630136986301,Left-wing,73,57
The Greens,2008.0,0.2821782178217821,Left-wing,202,57
Team Stronach for Austria,2013.0,0.5617021276595745,Right-wing,470,57
The Greens,2013.0,0.1954022988505747,Left-wing,87,57
Austrian People’s Party,2006.0,0.2241379310344827,Right-wing,406,57
Austrian People’s Party,2017.0,0.2608695652173913,Right-wing,23,57
The Greens,2017.0,0.2433862433862433,Left-wing,189,57
Austrian People’s Party,2013.0,0.4634146341463415,Right-wing,41,57
Austrian People’s Party,2008.0,0.4358974358974359,Right-wing,78,57
Austrian Freedom Party,2008.0,0.620253164556962,Right-wing,79,57
Austrian Freedom Party,2002.0,0.5797101449275363,Right-wing,69,57
Alliance for the Future of Austria,2006.0,0.3809523809523809,Right-wing,63,57
Austrian Social Democratic Party,2002.0,0.3661971830985915,Left-wing,71,57
The New Austria,2017.0,0.125,Other,8,57
Austrian People’s Party,2002.0,0.2941176470588235,Right-wing,17,57
Austrian Freedom Party,2006.0,0.8333333333333334,Right-wing,18,57
Austrian Communist Party,2008.0,0.3157894736842105,Left-wing,38,57
Peter Pilz List,2017.0,0.4204545454545454,Left-wing,1056,57
The New Austria,2013.0,0.3846153846153846,Other,39,58
Austrian Social Democratic Party,2008.0,0.2333333333333333,Left-wing,420,58
Austrian Freedom Party,2017.0,0.5609756097560976,Right-wing,41,58
The Greens,2008.0,0.2121212121212121,Left-wing,165,58
Alliance for the Future of Austria,2008.0,0.419753086419753,Right-wing,81,58
Team Stronach for Austria,2013.0,0.4385026737967914,Right-wing,187,58
Austrian People’s Party,2006.0,0.1926406926406926,Right-wing,462,58
Austrian Communist Party,2008.0,0.1794871794871795,Left-wing,156,58
Austrian Freedom Party,2006.0,0.6634920634920635,Right-wing,315,58
Austrian Social Democratic Party,2017.0,0.1944444444444444,Left-wing,540,58
The Greens,2002.0,0.2028301886792453,Left-wing,212,58
Austrian Social Democratic Party,2013.0,0.2401315789473684,Left-wing,304,58
Austrian Social Democratic Party,2006.0,0.3263157894736842,Left-wing,190,58
The Greens,2017.0,0.2435897435897435,Left-wing,156,58
The Greens,2013.0,0.195,Left-wing,200,58
Austrian People’s Party,2013.0,0.2435233160621761,Right-wing,193,58
Austrian Social Democratic Party,2002.0,0.2613636363636363,Left-wing,88,58
Alliance for the Future of Austria,2006.0,0.4266666666666667,Right-wing,75,58
Austrian Freedom Party,2008.0,0.2950819672131147,Right-wing,61,58
Austrian Freedom Party,2013.0,0.4262295081967213,Right-wing,61,58
Austrian Freedom Party,2002.0,0.6842105263157895,Right-wing,19,58
Austrian People’s Party,2017.0,0.1111111111111111,Right-wing,18,58
Austrian People’s Party,2008.0,0.125,Right-wing,8,58
Austrian People’s Party,2002.0,0.1958762886597938,Right-wing,97,58
The New Austria,2017.0,0.4166666666666667,Other,84,58
The Greens,2006.0,0.3529411764705882,Left-wing,17,58
Peter Pilz List,2017.0,0.2443438914027149,Left-wing,221,58
The Greens,2013.0,0.2702078521939954,Left-wing,433,59
Austrian Social Democratic Party,2013.0,0.1711538461538461,Left-wing,520,59
Austrian People’s Party,2013.0,0.1748400852878464,Right-wing,469,59
Austrian Freedom Party,2002.0,0.511520737327189,Right-wing,217,59
Team Stronach for Austria,2013.0,0.3953488372093023,Right-wing,43,59
Alliance for the Future of Austria,2006.0,0.3962264150943396,Right-wing,212,59
The New Austria,2017.0,0.2176165803108808,Other,193,59
Austrian Communist Party,2008.0,0.2507552870090634,Left-wing,331,59
Austrian Freedom Party,2006.0,0.5280898876404494,Right-wing,89,59
The New Austria,2013.0,0.249221183800623,Other,321,59
The Greens,2008.0,0.2345679012345679,Left-wing,81,59
Austrian People’s Party,2017.0,0.2131147540983606,Right-wing,122,59
Austrian People’s Party,2008.0,0.28,Right-wing,25,59
Austrian Freedom Party,2013.0,0.3725490196078431,Right-wing,51,59
The Greens,2017.0,0.1518987341772152,Left-wing,158,59
The Greens,2002.0,0.1988950276243093,Left-wing,181,59
Austrian People’s Party,2006.0,0.2564102564102564,Right-wing,78,59
Austrian Social Democratic Party,2002.0,0.2686567164179104,Left-wing,67,59
Austrian Social Democratic Party,2017.0,0.4222222222222222,Left-wing,45,59
Austrian Freedom Party,2008.0,0.375,Right-wing,16,59
Austrian Social Democratic Party,2008.0,0.2893401015228426,Left-wing,197,59
Austrian Social Democratic Party,2006.0,0.2,Left-wing,80,59
The Greens,2006.0,0.2108843537414966,Left-wing,147,59
Austrian Freedom Party,2017.0,0.4444444444444444,Right-wing,18,59
Alliance for the Future of Austria,2008.0,0.75,Right-wing,88,59
Austrian People’s Party,2002.0,0.4,Right-wing,5,59
Peter Pilz List,2017.0,0.2139737991266375,Left-wing,229,59
Austrian Social Democratic Party,2008.0,0.1363636363636363,Left-wing,528,60
Austrian Social Democratic Party,2017.0,0.1775700934579439,Left-wing,321,60
The Greens,2008.0,0.1633663366336633,Left-wing,202,60
The Greens,2006.0,0.1637426900584795,Left-wing,171,60
Austrian People’s Party,2006.0,0.1156316916488222,Right-wing,467,60
The Greens,2017.0,0.2359550561797752,Left-wing,89,60
Austrian Social Democratic Party,2002.0,0.216589861751152,Left-wing,217,60
Austrian Social Democratic Party,2013.0,0.1834061135371179,Left-wing,229,60
Austrian Freedom Party,2002.0,0.2909090909090909,Right-wing,55,60
The New Austria,2013.0,0.1483679525222551,Other,337,60
Austrian People’s Party,2017.0,0.1527777777777778,Right-wing,432,60
Austrian People’s Party,2002.0,0.2185430463576159,Right-wing,151,60
Austrian Freedom Party,2013.0,0.3764705882352941,Right-wing,85,60
Austrian People’s Party,2008.0,0.2015503875968992,Right-wing,129,60
The Greens,2013.0,0.35,Left-wing,80,60
Alliance for the Future of Austria,2008.0,0.4153846153846154,Right-wing,65,60
Alliance for the Future of Austria,2006.0,0.25,Right-wing,24,60
Team Stronach for Austria,2013.0,0.226950354609929,Right-wing,141,60
The Greens,2002.0,0.1851851851851851,Left-wing,189,60
Austrian Social Democratic Party,2006.0,0.1359223300970873,Left-wing,103,60
Austrian People’s Party,2013.0,0.2727272727272727,Right-wing,55,60
Austrian Freedom Party,2017.0,0.4126984126984127,Right-wing,63,60
The New Austria,2017.0,0.1666666666666666,Other,42,60
Austrian Freedom Party,2008.0,0.25,Right-wing,8,60
Austrian Communist Party,2008.0,0.3333333333333333,Left-wing,21,60
Austrian Freedom Party,2006.0,0.3333333333333333,Right-wing,6,60
Peter Pilz List,2017.0,0.5298013245033113,Left-wing,151,60
Austrian People’s Party,2017.0,0.3125,Right-wing,192,61
Team Stronach for Austria,2013.0,0.6575591985428051,Right-wing,549,61
Austrian Social Democratic Party,2017.0,0.1868131868131868,Left-wing,182,61
The New Austria,2017.0,0.3253796095444685,Other,461,61
The New Austria,2013.0,0.3260869565217391,Other,46,61
The Greens,2017.0,0.2608695652173913,Left-wing,23,61
Austrian People’s Party,2006.0,0.3161764705882353,Right-wing,136,61
The Greens,2002.0,0.3382352941176471,Left-wing,68,61
Austrian Social Democratic Party,2013.0,0.3176100628930817,Left-wing,318,61
Austrian Social Democratic Party,2002.0,0.2459893048128342,Left-wing,187,61
Austrian People’s Party,2013.0,0.1746987951807229,Right-wing,332,61
Austrian Freedom Party,2006.0,0.4294871794871794,Right-wing,156,61
Austrian Freedom Party,2008.0,0.5211267605633803,Right-wing,71,61
Alliance for the Future of Austria,2008.0,0.5130890052356021,Right-wing,191,61
Austrian Freedom Party,2013.0,0.3375,Right-wing,80,61
The Greens,2006.0,0.1971830985915492,Left-wing,71,61
Austrian Social Democratic Party,2006.0,0.1760869565217391,Left-wing,460,61
