party,year,score,orientation,counts,random_state
Austrian People’s Party,2006.0,0.2328767123287671,Right-wing,146,0
Austrian Freedom Party,2002.0,0.4523809523809524,Right-wing,210,0
Austrian Social Democratic Party,2017.0,0.2287234042553191,Left-wing,188,0
The Greens,2002.0,0.2142857142857142,Left-wing,448,0
Austrian People’s Party,2013.0,0.2341772151898734,Right-wing,158,0
The Greens,2006.0,0.1392405063291139,Left-wing,474,0
The New Austria,2017.0,0.2115384615384615,Other,208,0
Austrian People’s Party,2008.0,0.3820224719101123,Right-wing,89,0
Austrian Freedom Party,2017.0,0.5978260869565217,Right-wing,92,0
Austrian Freedom Party,2013.0,0.6852459016393443,Right-wing,305,0
The Greens,2017.0,0.1348314606741573,Left-wing,178,0
Austrian Freedom Party,2008.0,0.5743944636678201,Right-wing,289,0
Austrian Freedom Party,2006.0,0.1923076923076923,Right-wing,26,0
Austrian People’s Party,2017.0,0.4285714285714285,Right-wing,56,0
The Greens,2013.0,0.2535211267605634,Left-wing,142,0
Austrian Social Democratic Party,2002.0,0.2282608695652173,Left-wing,92,0
Alliance for the Future of Austria,2006.0,0.5555555555555556,Right-wing,27,0
Alliance for the Future of Austria,2008.0,0.3695652173913043,Right-wing,46,0
Austrian Social Democratic Party,2013.0,0.2898550724637681,Left-wing,69,0
Austrian People’s Party,2002.0,0.365079365079365,Right-wing,63,0
The New Austria,2013.0,0.4117647058823529,Other,17,0
The Greens,2008.0,0.1,Left-wing,10,0
Team Stronach for Austria,2013.0,0.484375,Right-wing,64,0
Austrian Social Democratic Party,2008.0,0.0,Left-wing,7,0
Peter Pilz List,2017.0,0.3728222996515679,Left-wing,287,0
The Greens,2008.0,0.2953020134228188,Left-wing,447,1
The Greens,2017.0,0.3333333333333333,Left-wing,132,1
Austrian Social Democratic Party,2006.0,0.3580508474576271,Left-wing,472,1
The New Austria,2013.0,0.3548387096774194,Other,186,1
The Greens,2013.0,0.2783505154639175,Left-wing,97,1
Austrian People’s Party,2008.0,0.2772277227722772,Right-wing,202,1
Austrian People’s Party,2017.0,0.3866666666666666,Right-wing,75,1
Austrian Freedom Party,2013.0,0.6803571428571429,Right-wing,560,1
The Greens,2002.0,0.2083333333333333,Left-wing,48,1
Austrian Freedom Party,2002.0,0.4322916666666667,Right-wing,192,1
Austrian Freedom Party,2006.0,0.6277777777777778,Right-wing,180,1
Austrian People’s Party,2013.0,0.5,Right-wing,10,1
Austrian People’s Party,2006.0,0.1633986928104575,Right-wing,306,1
Alliance for the Future of Austria,2006.0,0.4904761904761904,Right-wing,210,1
Austrian Communist Party,2008.0,0.2693498452012384,Left-wing,323,1
Austrian Social Democratic Party,2013.0,0.3111111111111111,Left-wing,90,1
The Greens,2006.0,0.2068965517241379,Left-wing,58,1
Team Stronach for Austria,2013.0,0.3582089552238806,Right-wing,134,1
Austrian Social Democratic Party,2008.0,0.3726708074534161,Left-wing,161,1
The New Austria,2017.0,0.3214285714285714,Other,28,1
Austrian People’s Party,2002.0,0.2647058823529412,Right-wing,68,1
Austrian Social Democratic Party,2002.0,0.3478260869565217,Left-wing,69,1
Austrian Freedom Party,2017.0,0.3636363636363636,Right-wing,44,1
Austrian Social Democratic Party,2017.0,0.2386363636363636,Left-wing,88,1
Alliance for the Future of Austria,2008.0,0.5,Right-wing,8,1
Austrian Freedom Party,2008.0,0.8461538461538461,Right-wing,13,1
Peter Pilz List,2017.0,0.3956043956043956,Left-wing,182,1
The Greens,2002.0,0.2535211267605634,Left-wing,142,2
Austrian People’s Party,2008.0,0.2432432432432432,Right-wing,333,2
Austrian Freedom Party,2002.0,0.5,Right-wing,306,2
Austrian Social Democratic Party,2008.0,0.1996268656716417,Left-wing,536,2
The Greens,2017.0,0.2515463917525773,Left-wing,485,2
The New Austria,2017.0,0.3715596330275229,Other,218,2
Austrian People’s Party,2017.0,0.1746031746031746,Right-wing,63,2
Austrian Social Democratic Party,2006.0,0.2441860465116279,Left-wing,86,2
Austrian People’s Party,2002.0,0.3174603174603174,Right-wing,126,2
The New Austria,2013.0,0.3838383838383838,Other,198,2
Alliance for the Future of Austria,2008.0,0.5634517766497462,Right-wing,197,2
Austrian Freedom Party,2006.0,0.4954751131221719,Right-wing,442,2
Austrian Social Democratic Party,2017.0,0.2391304347826087,Left-wing,46,2
Austrian Social Democratic Party,2002.0,0.2769230769230769,Left-wing,130,2
The Greens,2006.0,0.3283582089552239,Left-wing,67,2
Alliance for the Future of Austria,2006.0,0.4941176470588235,Right-wing,85,2
Team Stronach for Austria,2013.0,0.6216216216216216,Right-wing,185,2
Austrian People’s Party,2006.0,0.4137931034482758,Right-wing,87,2
Austrian Communist Party,2008.0,0.2953586497890295,Left-wing,237,2
Austrian People’s Party,2013.0,0.3333333333333333,Right-wing,63,2
Austrian Social Democratic Party,2013.0,0.2222222222222222,Left-wing,9,2
The Greens,2008.0,0.15,Left-wing,40,2
The Greens,2013.0,0.2051282051282051,Left-wing,39,2
Austrian Freedom Party,2013.0,0.4090909090909091,Right-wing,22,2
Austrian Freedom Party,2008.0,0.3333333333333333,Right-wing,6,2
Austrian Freedom Party,2017.0,0.3333333333333333,Right-wing,24,2
Peter Pilz List,2017.0,0.2401433691756272,Left-wing,279,2
Austrian Freedom Party,2008.0,0.6120689655172413,Right-wing,464,3
Team Stronach for Austria,2013.0,0.504950495049505,Right-wing,101,3
Austrian Social Democratic Party,2008.0,0.294010889292196,Left-wing,551,3
Austrian Freedom Party,2013.0,0.6086956521739131,Right-wing,69,3
Austrian Freedom Party,2002.0,0.7943037974683544,Right-wing,316,3
The Greens,2006.0,0.3174603174603174,Left-wing,63,3
Austrian People’s Party,2013.0,0.4043478260869565,Right-wing,230,3
Austrian Freedom Party,2006.0,0.5789473684210527,Right-wing,304,3
The Greens,2008.0,0.3653846153846153,Left-wing,416,3
The New Austria,2017.0,0.5144927536231884,Other,138,3
Austrian Social Democratic Party,2017.0,0.3636363636363636,Left-wing,154,3
Alliance for the Future of Austria,2008.0,0.5268817204301075,Right-wing,93,3
The Greens,2017.0,0.4012345679012346,Left-wing,162,3
The New Austria,2013.0,0.375,Other,184,3
Austrian People’s Party,2006.0,0.3663366336633663,Right-wing,202,3
The Greens,2013.0,0.3863636363636363,Left-wing,44,3
Austrian People’s Party,2002.0,0.3045685279187817,Right-wing,197,3
Austrian Communist Party,2008.0,0.2650602409638554,Left-wing,83,3
Austrian Social Democratic Party,2006.0,0.2708333333333333,Left-wing,96,3
Austrian People’s Party,2017.0,0.5434782608695652,Right-wing,46,3
Austrian People’s Party,2008.0,0.4090909090909091,Right-wing,44,3
Austrian Social Democratic Party,2013.0,0.4827586206896552,Left-wing,58,3
Alliance for the Future of Austria,2006.0,0.1538461538461538,Right-wing,13,3
Austrian Freedom Party,2017.0,0.3636363636363636,Right-wing,11,3
Austrian Social Democratic Party,2002.0,0.5,Left-wing,18,3
The Greens,2002.0,0.0,Left-wing,6,3
Peter Pilz List,2017.0,0.4037267080745341,Left-wing,644,3
The Greens,2002.0,0.2233009708737864,Left-wing,206,4
Austrian People’s Party,2008.0,0.3157894736842105,Right-wing,190,4
The Greens,2006.0,0.1631205673758865,Left-wing,564,4
The Greens,2008.0,0.1923076923076923,Left-wing,312,4
Austrian Social Democratic Party,2008.0,0.2236842105263158,Left-wing,228,4
Austrian Freedom Party,2017.0,0.3888888888888889,Right-wing,396,4
Austrian Freedom Party,2002.0,0.4692737430167598,Right-wing,179,4
The Greens,2013.0,0.2978723404255319,Left-wing,188,4
Austrian People’s Party,2002.0,0.2580645161290322,Right-wing,62,4
Austrian Social Democratic Party,2002.0,0.3582089552238806,Left-wing,67,4
Austrian Social Democratic Party,2017.0,0.2156862745098039,Left-wing,153,4
The Greens,2017.0,0.167032967032967,Left-wing,455,4
Alliance for the Future of Austria,2008.0,0.4061538461538461,Right-wing,325,4
Austrian People’s Party,2006.0,0.2307692307692307,Right-wing,13,4
The New Austria,2013.0,0.3146067415730337,Other,89,4
Austrian Freedom Party,2006.0,0.4489795918367347,Right-wing,49,4
Austrian People’s Party,2017.0,0.1428571428571428,Right-wing,84,4
Austrian Social Democratic Party,2013.0,0.375,Left-wing,16,4
Austrian Social Democratic Party,2006.0,0.2215189873417721,Left-wing,158,4
The New Austria,2017.0,0.2808988764044944,Other,89,4
Alliance for the Future of Austria,2006.0,0.3566433566433566,Right-wing,143,4
Austrian People’s Party,2013.0,0.3043478260869565,Right-wing,92,4
Team Stronach for Austria,2013.0,0.3582089552238806,Right-wing,67,4
Austrian Freedom Party,2008.0,0.44,Right-wing,50,4
Austrian Freedom Party,2013.0,0.3333333333333333,Right-wing,6,4
Austrian Communist Party,2008.0,0.1,Left-wing,20,4
Peter Pilz List,2017.0,0.3406593406593406,Left-wing,182,4
The Greens,2013.0,0.3421052631578947,Left-wing,76,5
The Greens,2017.0,0.3361702127659574,Left-wing,470,5
Austrian Social Democratic Party,2006.0,0.1681681681681681,Left-wing,333,5
Austrian Freedom Party,2006.0,0.4692737430167598,Right-wing,179,5
Austrian Freedom Party,2017.0,0.6413427561837456,Right-wing,566,5
Austrian People’s Party,2002.0,0.2847222222222222,Right-wing,144,5
Austrian Social Democratic Party,2013.0,0.3116883116883117,Left-wing,77,5
Austrian People’s Party,2008.0,0.3262032085561497,Right-wing,187,5
Austrian Freedom Party,2008.0,0.5828877005347594,Right-wing,187,5
Austrian Communist Party,2008.0,0.3459715639810427,Left-wing,211,5
Austrian Social Democratic Party,2002.0,0.3395784543325527,Left-wing,427,5
Austrian People’s Party,2017.0,0.25,Right-wing,84,5
Alliance for the Future of Austria,2006.0,0.3333333333333333,Right-wing,63,5
Austrian Freedom Party,2002.0,0.4177215189873418,Right-wing,79,5
The Greens,2008.0,0.220125786163522,Left-wing,318,5
Team Stronach for Austria,2013.0,0.6601941747572816,Right-wing,103,5
Austrian Social Democratic Party,2008.0,0.2409090909090909,Left-wing,220,5
The New Austria,2017.0,0.3333333333333333,Other,48,5
The Greens,2002.0,0.2925170068027211,Left-wing,147,5
